domain,subdomain,product,category_id,pub_id,release_title,year,periodicity,ext,url
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,20851382,GDP and National Accounts Q2/2026,2026,Quarterly,pdf,https://www.stats.gov.sa/documents/20117/2435267/GDP+Q22026En+07.09.2026++v6+%283%29.pdf/3ced906f-98b8-d456-8cda-bf94357f58fb?t=1788848972872
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,20851382,GDP and National Accounts Q2/2026,2026,Quarterly,xlsx,https://www.stats.gov.sa/documents/20117/2435267/GDP_Q2_2026_EN+%282%29.xlsx/c83d0a5f-e2e1-2cac-a477-f1ad8529f202?t=1788844506153
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,8632228,Annual National Accounts Publication 2024,2024,Yearly,pdf,https://www.stats.gov.sa/documents/20117/2435267/Annual_National_Accounts_Publication_2024_EN.pdf_fixed_8631783/770f9e7b-444a-5d5e-5b75-f6825f2668d0?t=1761806939052
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,8632228,Annual National Accounts Publication 2024,2024,Yearly,xlsx,https://www.stats.gov.sa/documents/20117/2435267/Annual_National_Accounts_Publication_2024-EN_%282%29.xlsx_fixed_10331477/1e97cc66-d799-4e95-0786-f67ec1a75993?t=1767179550802
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,8632228,Annual National Accounts Publication 2024,2024,Yearly,pdf,https://www.stats.gov.sa/documents/20117/2435267/GDP+Q22026En+07.09.2026++v6+%283%29.pdf/3ced906f-98b8-d456-8cda-bf94357f58fb?t=1788848972872
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,8632228,Annual National Accounts Publication 2024,2024,Yearly,xlsx,https://www.stats.gov.sa/documents/20117/2435267/GDP_Q2_2026_EN+%282%29.xlsx/c83d0a5f-e2e1-2cac-a477-f1ad8529f202?t=1788844506153
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,8632228,Annual National Accounts Publication 2024,2024,Yearly,pdf,https://www.stats.gov.sa/documents/20117/2435267/Annual_National_Accounts_Publication_2024_EN.pdf_fixed_8631783/770f9e7b-444a-5d5e-5b75-f6825f2668d0?t=1761806939052
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,8632228,Annual National Accounts Publication 2024,2024,Yearly,xlsx,https://www.stats.gov.sa/documents/20117/2435267/Annual_National_Accounts_Publication_2024-EN_%282%29.xlsx_fixed_10331477/1e97cc66-d799-4e95-0786-f67ec1a75993?t=1767179550802
Economic Statistics,National Accounts Statistics,Supply and Use Tables and Input - Output Tables,419265,1372654,Supply and Use Tables and Input-Output Tables by Divisions (2018-2023),2023,Periodic,xlsx,https://www.stats.gov.sa/documents/20117/2435267/SUT_and_IO_By_Divisions_-En.xlsx_fixed_3036185/89ca0ef5-3272-14cd-056c-5c2954d2eed6?t=1746089420921
Economic Statistics,National Accounts Statistics,Supply and Use Tables and Input - Output Tables,419265,1372636,Supply and Use Tables and Input-Output Tables by Sections (2018-2023),2023,Periodic,xlsx,https://www.stats.gov.sa/documents/20117/2435267/SUT_and_IO_By_Sections_-En.xlsx_fixed_3036245/91b73a34-05e8-0e49-46e8-eda783beae16?t=1746090703771
