domain,subdomain,product,category_id,releases,files,first_year,last_year,periodicities,listing_capped,claimed_total
Economic Statistics,National Accounts Statistics,Gross Domestic Product Statistics,120038,2,4,2024,2026,Quarterly; Yearly,,
Economic Statistics,National Accounts Statistics,Supply and Use Tables and Input - Output Tables,419265,2,2,2023,2023,Periodic,,
Economic Statistics,Comprehensive Economic Statistics,Comprehensive Economic Statistics,2197212,7,14,2023,2023,Yearly,,
Economic Statistics,Digital Economy Statistics,Digital Economy Statistics,122941,3,6,2022,2024,Yearly,,
Economic Statistics,Digital Economy Statistics,Access and Use of Information and Communications Technology for Families and Individuals,122971,8,16,2017,2025,Yearly,,
Economic Statistics,Digital Economy Statistics,Access and Use of Information and Communications Technology for Establishments,127305,3,6,2023,2025,Yearly,,
Economic Statistics,Prices Statistics,Consumer Prices Statistics,121421,100,200,2018,2026,Monthly; Yearly,YES,156
Economic Statistics,Prices Statistics,Wholesale Prices Statistics,122852,100,200,2018,2026,Monthly; Yearly,YES,160
Economic Statistics,Prices Statistics,Real Estate Prices Statistics,121920,8,16,2024,2026,Quarterly,,
Economic Statistics,Prices Statistics,Price Averages Statistics,121662,100,200,2019,2026,Monthly; Yearly,YES,172
Economic Statistics,Prices Statistics,The Construction Cost Index Statistics,3453505,14,28,2025,2026,Monthly,,
Economic Statistics,Prices Statistics,Producer Price Statistics,10329368,10,20,2025,2026,Monthly,,
Economic Statistics,Business Statistics,Structural Business Statistics,123038,25,43,2003,2024,Yearly,,25
Economic Statistics,Business Statistics,Small and Medium Enterprises Statistics,123088,6,8,2019,2024,Yearly,,
Economic Statistics,Business Statistics,Research and Development Statistics,123265,4,8,2021,2024,Yearly,,
Economic Statistics,Business Statistics,Non-Profit Organizations Statistics,2163811,7,10,2018,2024,Yearly,,
Economic Statistics,Business Statistics,Business Demography Statistics,3631799,2,4,2023,2024,Yearly,,
Economic Statistics,Short-Term Business Statistics,Short-Term Business Indicators Statistics,123342,25,45,2016,2026,Monthly; Quarterly,,25
Economic Statistics,Short-Term Business Statistics,Wholesale and Retail Trade Statistics,123427,13,26,2016,2026,Quarterly; Yearly,,
Economic Statistics,Short-Term Business Statistics,Industrial Production Index,123454,33,66,2024,2026,Monthly; Yearly,,33
Economic Statistics,Short-Term Business Statistics,Business Confidence Index Statistics,1340144,10,20,2025,2026,Monthly,,
Economic Statistics,Investment Statistics,Foreign Direct Investment Statistics,123583,7,14,2023,2026,Quarterly; Yearly,,
Economic Statistics,International Trade Statistics,International Trade for Goods,123481,100,198,2020,2026,Monthly; Quarterly; Yearly,YES,177
Economic Statistics,International Trade Statistics,International Trade Services,1340149,5,9,2024,2026,Quarterly; Yearly,,
Social Statistics,Labor Market Statistics,Labor Market Statistics,417515,21,30,2021,2026,Quarterly,,21
Social Statistics,Labor Market Statistics,Registered Labor Market Statistics,124074,13,13,2023,2026,Quarterly; Yearly,,
Social Statistics,Labor Market Statistics,Volunteer Work Statistics,123992,3,5,2018,2025,Yearly,,
Social Statistics,Health Statistics,Health and Safety at Work Statistics,123762,3,6,2023,2025,Yearly,,
Social Statistics,Health Statistics,Health Status Statistics,417594,3,6,2023,2025,Yearly,,
Social Statistics,Health Statistics,Health Care Statistics,123812,3,6,2023,2025,Yearly,,
Social Statistics,Health Statistics,Health Determinants Statistics,123842,2,4,2023,2024,Yearly,,
Social Statistics,Health Statistics,"Women's Health, Care and Reproductive Statistics",123902,3,6,2023,2025,Yearly,,
Social Statistics,Health Statistics,Early Childhood Development and Child Well-Being Statistics,123872,3,6,2023,2025,Yearly,,
Social Statistics,Health Statistics,Physical Activity Statistics,1278616,2,4,2024,2025,Yearly,,
Social Statistics,Health Statistics,Healthcare Establishments and Workforce Statistics,2968800,2,4,2023,2024,Yearly,,
Social Statistics,Gender and Diversity Statistics,Women's Statistics,123644,2,2,2022,2024,Yearly,,
Social Statistics,Gender and Diversity Statistics,Gender Statistics,123614,2,3,2018,2023,Yearly,,
Social Statistics,Gender and Diversity Statistics,Disability Statistics,123728,3,5,2023,2025,Every two years; Yearly,,
Social Statistics,Gender and Diversity Statistics,Elderly Statistics,123674,2,3,2019,2025,3 Years; Yearly,,
Social Statistics,Gender and Diversity Statistics,Youth Statistics,2696599,1,1,2023,2023,Yearly,,
Social Statistics,Gender and Diversity Statistics,Saudi Family Statistics,3153652,1,1,2024,2024,Yearly,,
Social Statistics,Vitals and Demographics Statistics,Population Estimates Statistics,2366987,1,2,2024,2024,Yearly,,
Social Statistics,Vitals and Demographics Statistics,Housing Statistics,3175009,2,4,2024,2025,Yearly,,
Social Statistics,Life Styles Statistics,Culture and Entertainment Statistics,127333,4,7,2023,2025,Yearly,,
Social Statistics,Life Styles Statistics,Safety Indicator,2377692,2,4,2023,2025,Every two years,,
Social Statistics,Living Conditions Statistics,Household Income and Consumption Expenditure Statistics,127329,1,2,2023,2023,Yearly,,
Social Statistics,Living Conditions Statistics,Consumer Confidence Statistics,10132653,2,4,2025,2026,Quarterly; Yearly,,
Social Statistics,Sports Statistics,Sports Statistics,123936,5,10,2017,2021,Yearly,,
Social Statistics,Education Statistics,Education and Training Statistics,514986,2,4,2024,2025,Yearly,,
Social Statistics,Education Statistics,Adult Skills and Learning Statistics,3030916,2,4,2024,2025,Yearly,,
Social Statistics,Saudi Census Statistics 2022,Population Statistics,417653,0,0,,,,,
Social Statistics,Saudi Census Statistics 2022,Household Statistics,417700,0,0,,,,,
Social Statistics,Saudi Census Statistics 2022,Housing and Dwellings Statistics,417705,0,0,,,,,
Social Statistics,Saudi Census Statistics 2022,Administrative Area Information,494915,0,0,,,,,
Social Statistics,Saudi Census Statistics 2022,Health and Disability Statistics,417709,0,0,,,,,
Environmental and Spatial Statistics,"Tourism ,Hajj and Umrah Statistics",Tourism Establishments Statistics,124304,27,47,2010,2026,Quarterly; Yearly,,27
Environmental and Spatial Statistics,"Tourism ,Hajj and Umrah Statistics",Umrah Statistics,124334,17,34,2016,2026,Quarterly; Yearly,,
Environmental and Spatial Statistics,"Tourism ,Hajj and Umrah Statistics",Hajj Statistics,124364,14,26,2012,2026,Yearly,,
Environmental and Spatial Statistics,Transportation and logistic services statistics,Air Transport Statistics,124954,5,10,2021,2025,Yearly,,
Environmental and Spatial Statistics,Transportation and logistic services statistics,Maritime Transport Statistics,124924,5,10,2021,2025,Yearly,,
Environmental and Spatial Statistics,Transportation and logistic services statistics,Road Transport Statistics,124894,3,6,2022,2024,Yearly,,
Environmental and Spatial Statistics,Transportation and logistic services statistics,Railway Transport Statistics,565258,2,4,2023,2024,Yearly,,
Environmental and Spatial Statistics,Transportation and logistic services statistics,Warehousing and Logistics Statistics,2163948,2,4,2023,2024,Yearly,,
Environmental and Spatial Statistics,Environment Statistics,Household Environment Statistics,124428,19,38,2018,2024,Yearly,,
Environmental and Spatial Statistics,Environment Statistics,Environmental Statistics,124458,4,8,2021,2024,Yearly,,
Environmental and Spatial Statistics,Environment Statistics,Climate Change Statistics,2236741,2,4,2023,2024,Yearly,,
Environmental and Spatial Statistics,Environment Statistics,Water Accounts,2236631,1,2,2023,2023,Every two years,,
Environmental and Spatial Statistics,Environment Statistics,Waste Accounts,10269979,1,2,2024,2024,Yearly,,
Environmental and Spatial Statistics,Agriculture Statistics,Agriculture Census,124520,2,4,2015,2023,Yearly,,
Environmental and Spatial Statistics,Agriculture Statistics,Livestock Statistics,124553,12,24,2018,2024,Yearly,,
Environmental and Spatial Statistics,Agriculture Statistics,Fishing and Aquaculture Statistics,124643,6,12,2020,2025,Yearly,,
Environmental and Spatial Statistics,Agriculture Statistics,Agricultural Statistics,124583,8,16,2018,2024,Yearly,,
Environmental and Spatial Statistics,Agriculture Statistics,Agricultural Holdings Statistics,124673,1,2,2018,2018,3 Years,,
Environmental and Spatial Statistics,Agriculture Statistics,Food Security Statistics,2197199,2,4,2023,2024,Yearly,,
Environmental and Spatial Statistics,Agriculture Statistics,Agriculture and Fisheries Accounts,2236635,1,2,2023,2023,Yearly,,
Environmental and Spatial Statistics,Energy Statistics,Oil and Gas Statistics,124827,1,2,2025,2025,Yearly,,
Environmental and Spatial Statistics,Energy Statistics,Renewable Energy Statistics,124797,1,2,2025,2025,Yearly,,
Environmental and Spatial Statistics,Energy Statistics,Energy Efficiency Statistics,124737,1,2,2024,2024,Yearly,,
Environmental and Spatial Statistics,Energy Statistics,Electrical Energy Statistics,124767,1,2,2024,2024,Yearly,,
Environmental and Spatial Statistics,Energy Statistics,Household Energy Statistics,124707,8,16,2017,2024,Yearly,,
Environmental and Spatial Statistics,Energy Statistics,Mineral Resources Statistics,9766296,1,2,2024,2024,Yearly,,
Environmental and Spatial Statistics,Spatial Statistics,Service Statistics Publication,124988,79,116,2015,2024,Yearly,,79
Environmental and Spatial Statistics,Spatial Statistics,Land Accounts,2215700,1,2,2023,2023,Yearly,,
Archived Data,(archived),Population Statistics,1340079,13,19,1999,2021,Semi Annual; Yearly,,
Archived Data,(archived),Population and Housing census,1340083,37,44,1974,2010,Yearly,,
Archived Data,(archived),Housing Statistics,1340089,3,5,2017,2019,Yearly,,
Archived Data,(archived),Population Statistics (old),538468,4,6,2019,2021,Yearly,,
Archived Data,(archived),Labor Force,1333429,58,92,1999,2023,Quarterly; Yearly,,
Archived Data,(archived),Employment and Wages,1333433,1,2,2017,2017,Yearly,,
Archived Data,(archived),Family Health Survey,1333437,2,4,2017,2018,3 Years; Yearly,,
Archived Data,(archived),Education and Training,1340041,1,1,2017,2017,Yearly,,
Archived Data,(archived),Household Expenditure,1340045,4,7,1999,2018,5 Years,,
Archived Data,(archived),Disability Survey,1340049,1,2,2017,2017,Yearly,,
Archived Data,(archived),Gender Statistics,1340053,2,3,2017,2020,Yearly,,
Archived Data,(archived),Youth Development,1340057,2,2,2019,2020,Yearly,,
Archived Data,(archived),Elderly Survey,1340062,1,2,2017,2017,Yearly,,
Archived Data,(archived),Marriage and Divorce Statistics,1340066,2,4,2019,2020,Yearly,,
Archived Data,(archived),Voluntary work survey,1340070,1,2,2018,2018,5 Years,,
Archived Data,(archived),Foreign Direct Investment,1340102,3,6,2022,2023,Quarterly; Yearly,,
Archived Data,(archived),Manufacturing Industry,1340093,9,10,2010,2017,Yearly,,
Archived Data,(archived),Sustainable Development Goals,1340074,0,0,,,,,
Archived Data,(archived),Statistics of construction Activity,2204353,3,5,2017,2018,Yearly,,
Archived Data,(archived),Real Estate Prices Statistics,1340106,41,82,2015,2024,Quarterly; Yearly,,
Archived Data,(archived),Electrical Energy Statistics,13680004,2,4,2021,2023,Yearly,,
Archived Data,(archived),Renewable Energy Statistics,13679847,1,2,2022,2022,Yearly,,
